,,out/zero-shot_few-shot/interview-IT/LLM/zero-shot/20260224_225918/info.json,,out/zero-shot_few-shot/interview-IT/LLM/few-shot/20260224_225810/info.json
zero-shot/few-shot,,zero,,few
人間/LLM,,llm,,llm
何人目,,1,,1
行1,思い出・エピソード: 済,思い出・エピソード: 済,思い出・エピソード: 済,思い出・エピソード: 済
行2,悩みやストレス: 済,悩みやストレス: 済,悩みやストレス: 済,悩みや不満点: 済
行3,家族: 済,家族: 済,家族: 済,家族: 済
行4,現在の仕事,キャリア・職場: 済,現在の仕事,現在のキャリア: 済
行5,性格,性格: 済,昇進転職,昇進・キャリア志向: 済
行6,達成感,達成感: 済,性格,性格: 済
,昇進転職,,,
,,,,
recall,0.8571 ,,1 ,
precision,1.0000 ,,1 ,
f,0.9231 ,,1 ,
